"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2016256451","4/25/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/25/2016 12:00:00 AM","3121 E COLFAX AVE                                 ","3154503.00","1695054.00","2","213","5707    ","CRIMINAL TRESPASSING","All Other Crimes","INDUSTRY","","","",""
"2016258525","4/26/2016 12:00:00 AM","4/26/2016 12:00:00 AM","4/26/2016 12:00:00 AM","985 S LOGAN ST                                    ","3145350.00","1679861.00","3","312","2205    ","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","","","",""
"2016262891","4/27/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/27/2016 12:00:00 AM","5055 E 38TH AVE                                   ","3160638.00","1705682.00","2","221","1202    ","ROBBERY - BUSINESS","Robbery-Business","NON-INDUSTRY","","","",""
"2016268643","4/29/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/30/2016 12:00:00 AM","2645 S SANTA FE DR                                ","3141468.00","1668820.00","3","313","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"2016270384","5/1/2016 12:00:00 AM","5/1/2016 12:00:00 AM","5/1/2016 12:00:00 AM","4641 N CLAYTON ST                                 ","3153334.00","1709812.00","2","212","5707    ","CRIMINAL TRESPASSING","All Other Crimes","NON-INDUSTRY","","","",""
"2016270384","5/1/2016 12:00:00 AM","5/1/2016 12:00:00 AM","5/1/2016 12:00:00 AM","4641 N CLAYTON ST                                 ","3153334.00","1709812.00","2","212","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2016277659","5/4/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/4/2016 12:00:00 AM","8151 E COLFAX AVE                                 ","3170685.00","1695142.00","2","223","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2016279924","5/5/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/5/2016 12:00:00 AM","E 26TH AVE / N DEXTER ST                          ","3159469.00","1700268.00","2","222","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"201628053","1/14/2016 12:00:00 AM","1/14/2016 12:00:00 AM","1/14/2016 12:00:00 AM","2601 N ZUNI ST                                    ","3135850.00","1700412.00","1","121","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","NON-INDUSTRY","","","",""
"201628453","1/14/2016 12:00:00 AM","1/14/2016 12:00:00 AM","1/14/2016 12:00:00 AM","1127 S ELIZABETH ST                               ","3153039.00","1678868.00","3","312","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
